cusip,trade_date,open_price,close_price,volume
57772K101,2011-11-14,26.700000,26.490000,1693972
G7945M107,2011-11-14,17.710000,17.760000,7302138
595017104,2011-11-14,36.620000,36.430000,1187968
247361702,2011-11-14,8.020000,8.060000,15831415
861012102,2011-11-14,7.330000,7.250000,863452
39945C109,2011-11-14,19.540000,19.280000,267320
049513104,2011-11-14,10.150000,10.100000,6845426
037833100,2011-11-15,380.800000,388.830000,15392116
594918104,2011-11-15,26.560000,26.740000,43877075
459200101,2011-11-15,187.490000,188.750000,4585232
931142103,2011-11-15,57.970000,57.460000,16007290
68389X105,2011-11-15,32.210000,32.960000,21397300
458140100,2011-11-15,24.660000,25.340000,77391270
803054204,2011-11-15,59.800000,60.300000,1043300
138006309,2011-11-15,44.060000,43.950000,197824
268648102,2011-11-15,24.270000,24.550000,8813260
37045V100,2011-11-15,22.810000,23.350000,13868586
87612E106,2011-11-15,52.530000,53.180000,6533062
143658300,2011-11-15,33.030000,33.040000,2729006
988498101,2011-11-15,55.280000,55.410000,1847710
97651M109,2011-11-15,10.030000,10.120000,399170
111320107,2011-11-15,35.020000,35.950000,10622028
N07059186,2011-11-15,39.960000,40.460000,1462926
038222105,2011-11-15,12.290000,12.640000,11726578
G5876H105,2011-11-15,14.790000,15.080000,12154990
67066G104,2011-11-15,14.550000,14.880000,12644108
57772K101,2011-11-15,26.390000,27.010000,2802529
G7945M107,2011-11-15,17.200000,17.520000,8878512
595017104,2011-11-15,36.350000,36.870000,1825752
247361702,2011-11-15,8.060000,8,12773724
861012102,2011-11-15,7.150000,7.150000,884984
39945C109,2011-11-15,19.220000,19.230000,281362
049513104,2011-11-15,10.070000,10.310000,7778248
