id|trade_date|open|close|bid|ask|volume_pre|volume_post|volume
ATML:049513104|2011-11-10|9.670000|9.550000|9.550000|9.560000|291177.000000|4758.000000|7126379.000000
AAPL:037833100|2011-11-11|386.610000|384.620000|384.560000|384.630000|204787.000000|339460.000000|22805184.000000
AAp:01381720|2011-11-11||79.060000|78.550000|83.750000|||
MSFT:594918104|2011-11-11|26.579900|26.910000|26.900000|26.910000|912325.000000|133548.000000|36858098.000000
IBM:459200101|2011-11-11|185.270000|187.380000|187.340000|187.380000|165946.000000|3645.000000|3495718.000000
WMT:931142103|2011-11-11|58.510000|59.200000|59.200000|59.210000|184595.000000|17401.000000|8196485.000000
ORCL:68389X105|2011-11-11|32.020000|32.370000|32.380000|32.380000|1183461.000000|5747.000000|20475580.000000
INTC:458140100|2011-11-11|24.310000|24.850000|24.830000|24.840000|872234.000000|33710.000000|42961248.000000
SAP:803054204|2011-11-11|60.800000|60.680000|60.670000|60.670000|2024.000000|25640.000000|1219359.000000
CAJ:138006309|2011-11-11|44.240000|44.800000|44.790000|44.800000|1100.000000|486.000000|512867.000000
EMC:268648102|2011-11-11|24.420000|24.640000|24.640000|24.650000|135345.000000|15682.000000|15645110.000000
POT:003493512|2011-11-11|46.71|46.86|46.82|46.83|14,600|16,793|5,240,696
TGT:87612E106|2011-11-11|52.000000|53.070000|53.070000|53.080000|54196.000000|500.000000|4237127.000000
GM:37045V100|2011-11-11|22.950000|22.510000|22.490000|22.500000|59024.000000|26939.000000|15353455.000000
CCL:143658300|2011-11-11|33.550000|33.470000|33.450000|33.460000|18789.000000|3390.000000|2677032.000000
YUM:988498101|2011-11-11|55.210000|55.810000|55.820000|55.830000|20481.000000|100.000000|2418866.000000
WIT:97651M109|2011-11-11|9.900000|10.030000|10.030000|10.040000|89049.000000|100.000000|622681.000000
BRCM:111320107|2011-11-11|34.609900|35.330000|35.300000|35.310000|125708.000000|1100.000000|5092742.000000
ASML:N07059186|2011-11-11|40.640000|41.560000|41.560000|41.590000|2419.000000|13350.000000|2517600.000000
AMAT:038222105|2011-11-11|12.420000|12.730000|12.720000|12.730000|416570.000000|12600.000000|11800779.000000
NVDA:67066G104|2011-11-11|14.880000|14.980000|14.970000|14.980000|195249.000000|504824.000000|43098084.000000
MRVL:G5876H105|2011-11-11|14.590000|14.920000|14.920000|14.930000|284278.000000|1630.000000|11153051.000000
MXIM:57772K101|2011-11-11|26.100000|26.750000|26.730000|26.740000|35189.000000|1300.000000|1557168.000000
STX:G7945M107|2011-11-11|17.620000|17.940000|17.950000|17.960000|67759.000000|6804.000000|11917381.000000
MCHP:595017104|2011-11-11|36.040000|36.760000|36.750000|36.760000|76296.000000|1135.000000|1560784.000000
DAL:247361702|2011-11-11|7.750000|7.950000|7.950000|7.960000|11889.000000|7900.000000|9465961.000000
STM:861012102|2011-11-11|7.270000|7.340000|7.330000|7.340000|15675.000000|100.000000|959787.000000
GIB:39945C109|2011-11-11|19.870000|19.740000|19.740000|19.760000|67500.000000|1700.000000|277891.000000
ATML:049513104|2011-11-11|9.660000|10.220000|10.200000|10.210000|32926.000000|4758.000000|8654826.000000
AAPL:037833100|2011-11-14|383.520000|379.260000|379.260000|379.370000|227818.000000|140067.000000|15098616.000000
AAp:01381720|2011-11-14||79.060000|79.050000|83.750000|||
MSFT:594918104|2011-11-14|26.879900|26.760000|26.750000|26.760000|2665482.000000|46105.000000|31487559.000000
IBM:459200101|2011-11-14|189.170000|187.350000|187.220000|187.190000|214631.000000|381544.000000|5450904.000000
WMT:931142103|2011-11-14|58.810000|58.890000|58.900000|58.900000|292277.000000|38428.000000|10223770.000000
ORCL:68389X105|2011-11-14|32.300000|32.300000|32.300000|32.310000|695510.000000|7576.000000|16078542.000000
INTC:458140100|2011-11-14|24.780100|24.630000|24.630000|24.640000|9348147.000000|61548.000000|40008349.000000
SAP:803054204|2011-11-14|60.020000|59.720000|59.750000|59.770000|2024.000000|10055.000000|930975.000000
